G:/Shaikha/TABLE/BATCH 38/PDF/102118177238MS/102118177238MS/Table/main_102118177238MS_tbl.xml [165:22] : Error: element content invalid. Element 'a' is not expected here, expecting 'b', 'br', 'ce-math', 'del', 'glyph', 'hr', 'i', 'label', 'link', 'list-wrap', 'math', 'p', 'sc', 'span', 'sub', 'sup', 'tex-math', 'u' or '</th>'
G:/Shaikha/TABLE/BATCH 38/PDF/102118177238MS/102118177238MS/Table/main_102118177238MS_tbl.xml [184:42] : Error: element content invalid. Element 'Other0' is not expected here, expecting 'b', 'br', 'ce-math', 'del', 'glyph', 'hr', 'i', 'label', 'link', 'list-wrap', 'math', 'p', 'sc', 'span', 'sub', 'sup', 'tex-math', 'u' or '</td>'
G:/Shaikha/TABLE/BATCH 38/PDF/102118177238MS/102118177238MS/Table/main_102118177238MS_tbl.xml [188:24] : Error: element content invalid. Element 'Other0' is not expected here, expecting 'b', 'br', 'ce-math', 'del', 'glyph', 'hr', 'i', 'label', 'link', 'list-wrap', 'math', 'p', 'sc', 'span', 'sub', 'sup', 'tex-math', 'u' or '</td>'
G:/Shaikha/TABLE/BATCH 38/PDF/102118177238MS/102118177238MS/Table/main_102118177238MS_tbl.xml [191:24] : Error: element content invalid. Element 'Other0' is not expected here, expecting 'b', 'br', 'ce-math', 'del', 'glyph', 'hr', 'i', 'label', 'link', 'list-wrap', 'math', 'p', 'sc', 'span', 'sub', 'sup', 'tex-math', 'u' or '</td>'
G:/Shaikha/TABLE/BATCH 38/PDF/102118177238MS/102118177238MS/Table/main_102118177238MS_tbl.xml [195:24] : Error: element content invalid. Element 'Other0' is not expected here, expecting 'b', 'br', 'ce-math', 'del', 'glyph', 'hr', 'i', 'label', 'link', 'list-wrap', 'math', 'p', 'sc', 'span', 'sub', 'sup', 'tex-math', 'u' or '</td>'
G:/Shaikha/TABLE/BATCH 38/PDF/102118177238MS/102118177238MS/Table/main_102118177238MS_tbl.xml [198:24] : Error: element content invalid. Element 'Other0' is not expected here, expecting 'b', 'br', 'ce-math', 'del', 'glyph', 'hr', 'i', 'label', 'link', 'list-wrap', 'math', 'p', 'sc', 'span', 'sub', 'sup', 'tex-math', 'u' or '</td>'
G:/Shaikha/TABLE/BATCH 38/PDF/102118177238MS/102118177238MS/Table/main_102118177238MS_tbl.xml [201:24] : Error: element content invalid. Element 'Other0' is not expected here, expecting 'b', 'br', 'ce-math', 'del', 'glyph', 'hr', 'i', 'label', 'link', 'list-wrap', 'math', 'p', 'sc', 'span', 'sub', 'sup', 'tex-math', 'u' or '</td>'
G:/Shaikha/TABLE/BATCH 38/PDF/102118177238MS/102118177238MS/Table/main_102118177238MS_tbl.xml [206:42] : Error: element content invalid. Element 'Other0' is not expected here, expecting 'b', 'br', 'ce-math', 'del', 'glyph', 'hr', 'i', 'label', 'link', 'list-wrap', 'math', 'p', 'sc', 'span', 'sub', 'sup', 'tex-math', 'u' or '</td>'
G:/Shaikha/TABLE/BATCH 38/PDF/102118177238MS/102118177238MS/Table/main_102118177238MS_tbl.xml [211:24] : Error: element content invalid. Element 'Other0' is not expected here, expecting 'b', 'br', 'ce-math', 'del', 'glyph', 'hr', 'i', 'label', 'link', 'list-wrap', 'math', 'p', 'sc', 'span', 'sub', 'sup', 'tex-math', 'u' or '</td>'
G:/Shaikha/TABLE/BATCH 38/PDF/102118177238MS/102118177238MS/Table/main_102118177238MS_tbl.xml [215:24] : Error: element content invalid. Element 'Other0' is not expected here, expecting 'b', 'br', 'ce-math', 'del', 'glyph', 'hr', 'i', 'label', 'link', 'list-wrap', 'math', 'p', 'sc', 'span', 'sub', 'sup', 'tex-math', 'u' or '</td>'
G:/Shaikha/TABLE/BATCH 38/PDF/102118177238MS/102118177238MS/Table/main_102118177238MS_tbl.xml [220:15] : Error: undeclared attribute 'height' for element 'tr'
